Price Region,Market Comp,Live,Change,Regional Signal,14-Aug,7-Aug,31-Jul,24-Jul,17-Jul,10-Jul,3-Jul,26-Jun,19-Jun,12-Jun,5-Jun,29-May,22-May,15-May,8-May,1-May,24-Apr,17-Apr,10-Apr,2-Apr,1-Apr,Win25-26,vs25-26,Win24-25,vs24-25,Win23-24,vs23-24,Win22-23,vs22-23,Win21-22,vs21-22
Mountain - Rockies,CIG-Mainline Pool,-0.0575,0.0428,Not screened,-0.1003,-0.14,-0.1769,-0.1473,-0.1297,-0.1899,-0.2947,-0.3123,-0.242,-0.2653,-0.275,-0.3047,-0.3352,-0.3571,-0.3927,-0.4197,-0.48,-0.5182,-0.5446,-0.5397,-0.5391,-1.9011589404,1.8436589404,-0.672384106,0.614884106,-0.0709539474,0.0134539474,0.4958940397,-0.5533940397,-0.257615894,0.200115894
Mountain - Opal,CIG-Mainline South,-0.0575,0.0428,Not screened,-0.1003,-0.14,-0.1769,-0.1473,-0.1297,-0.1899,-0.2947,-0.3123,-0.242,-0.2653,-0.275,-0.3047,-0.3352,-0.3571,-0.3927,-0.4197,-0.48,-0.5182,-0.5446,-0.5397,-0.5391,-1.7670110345,1.7095110345,-0.7019251656,0.6444251656,-0.6601848684,0.6026848684,0.4397463576,-0.4972463576,-0.263436,0.205936
Northeast - Appalachia,Eastern Gas-South,-0.6003,-0.014,Not screened,-0.5863,-0.5818,-0.6014,-0.5855,-0.5816,-0.5851,-0.658,-0.6621,-0.667,-0.6782,-0.6998,-0.7031,-0.6665,-0.6959,-0.723,-0.6954,-0.6664,-0.6829,-0.6926,-0.7273,-0.7322,-0.3188741722,-0.2814258278,-0.4459271523,-0.1543728477,-0.6425657895,0.0422657895,-0.7291390728,0.1288390728,-0.5855298013,-0.0147701987
SouthCentral - Midcon,EGT-Flex,-0.0369,-0.0086,Not screened,-0.0283,-0.0161,-0.0184,-0.0003,0.0144,-0.0221,-0.0947,-0.0829,-0.0743,-0.115,-0.151,-0.17,-0.1949,-0.232,-0.2068,-0.2286,-0.2665,-0.2857,-0.3151,-0.2988,-0.31,-1.1744486301,1.1375486301,-0.3236218543,0.2867218543,-0.5911085526,0.5542085526,-0.550105298,0.513205298,-0.3405556291,0.3036556291
SouthCentral - Perryville,EGT-Perryville Hub,-0.2267,-0.0164,Not screened,-0.2103,-0.2143,-0.23,-0.2275,-0.2149,-0.2276,-0.2655,-0.2657,-0.2692,-0.2732,-0.2746,-0.2771,-0.26,-0.2548,-0.2469,-0.2348,-0.2463,-0.2412,-0.2307,-0.2392,-0.2326,-0.2096688742,-0.0170311258,-0.2284437086,0.0017437086,-0.2298355263,0.0031355263,-0.3584437086,0.1317437086,-0.284205298,0.057505298
SouthCentral - WesTex,EP-Keystone,-1.0014,-0.0695,Not screened,-0.9319,-0.9423,-1.0225,-0.977,-0.9972,-1.1241,-1.2335,-1.1353,-1.1147,-1.0504,-1.2354,-1.257,-1.1992,-1.3844,-1.2072,-1.285,-1.1919,-1.1556,-1.2531,-1.2009,-1.1922,-5.6712445205,4.6698445205,-2.0886821192,1.0872821192,-1.4289138158,0.4275138158,-1.6094993377,0.6080993377,-0.4541801325,-0.5472198675
SouthCentral - WesTex,EP-Plains Pool,-1.0014,-0.0695,Not screened,-0.9319,-0.9423,-1.0225,-0.977,-0.9972,-1.1241,-1.2335,-1.1353,-1.1147,-1.0504,-1.2354,-1.257,-1.1992,-1.3844,-1.2072,-1.285,-1.1919,-1.1556,-1.2531,-1.2009,-1.1922,-5.329840411,4.328440411,-1.6626350993,0.6612350993,-1.1498276316,0.1484276316,-0.5076218543,-0.4937781457,-0.3069695364,-0.6944304636
Mountain - WesTex,EP-SJ Blanco Pool,-0.0156,0.0395,Not screened,-0.0551,-0.0596,-0.1669,-0.1178,-0.0993,-0.1401,-0.2457,-0.239,-0.1698,-0.1801,-0.2307,-0.2602,-0.3052,-0.3702,-0.3857,-0.4177,-0.5072,-0.5305,-0.5366,-0.5471,-0.5421,-2.0652317881,2.0496317881,-0.7016556291,0.6860556291,0.1875328947,-0.2031328947,4.0343377483,-4.0499377483,0.1041721854,-0.1197721854
Mountain - WesTex,EP-SJ Bondad Stn,-0.0156,0.0395,Not screened,-0.0551,-0.0596,-0.1669,-0.1178,-0.0993,-0.1401,-0.2457,-0.239,-0.1698,-0.1801,-0.2307,-0.2602,-0.3052,-0.3702,-0.3857,-0.4177,-0.5072,-0.5305,-0.5366,-0.5471,-0.5421,-2.0526490066,2.0370490066,-0.6988741722,0.6832741722,0.1403618421,-0.1559618421,4.0699668874,-4.0855668874,0.0964238411,-0.1120238411
SouthCentral - WesTex,EP-Waha Pool,-1.0014,-0.0695,Not screened,-0.9319,-0.9423,-1.0225,-0.977,-0.9972,-1.1241,-1.2335,-1.1353,-1.1147,-1.0504,-1.2354,-1.257,-1.1992,-1.3844,-1.2072,-1.285,-1.1919,-1.1556,-1.2531,-1.2009,-1.1922,-5.4286754967,4.4272754967,-2.0821523179,1.0807523179,-1.2739473684,0.2725473684,-1.7640397351,0.7626397351,-0.5099668874,-0.4914331126
