Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
SouthCentral - Midcon,ANR-SW :: OGT,ANR-SW,OGT,Short ANR-SW / Long OGT,0.1275,0.09219999999999999,0.09555,0.10195,0.03530000000000001,4.761904761904747,4.842692082084773,2.6310288404010698,96.3302752293578,1.0,109,1.0,True,100.0,insufficient_backtest_events,6,,,,3,,,,1,,,
SouthCentral - Midcon,ANR-SW :: Panhandle,ANR-SW,Panhandle,Short ANR-SW / Long Panhandle,0.13749999999999998,0.0932,0.09285,0.09589999999999999,0.04429999999999998,27.163582404374473,9.41125387832188,4.126296410915645,97.24770642201835,1.0,109,1.0,True,100.0,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Midcon,ANR-SW :: Southern Star,ANR-SW,Southern Star,Short ANR-SW / Long Southern Star,-0.03,-0.034,-0.0305,-0.03609999999999999,0.0040000000000000036,0.36458959971707894,0.062452848099684787,1.371464544269076,61.46788990825688,1.0,109,1.0,False,73.64589599717078,insufficient_backtest_events,4,,,,2,,,,1,,,
SouthCentral - Midcon,EGT-Flex :: NGPL-Midcont Pool,EGT-Flex,NGPL-Midcont Pool,Short EGT-Flex / Long NGPL-Midcont Pool,0.2692,0.22749999999999998,0.21445000000000003,0.21380000000000002,0.041700000000000015,1.7361891771712343,3.7301382910448178,4.982238410000443,92.66055045871559,1.0,109,1.0,True,87.36189177171235,insufficient_backtest_events,2,,,,1,,,,1,,,
SouthCentral - Midcon,EGT-Flex :: OGT,OGT,EGT-Flex,Short OGT / Long EGT-Flex,0.10420000000000001,0.12329999999999999,0.0849,0.06905,-0.019099999999999978,-0.39396860874626793,1.210946200734724,4.310609126473153,39.44954128440367,0.3333333333333333,109,1.0,False,60.60635275412935,insufficient_backtest_events,7,,,,3,,,,2,,,
SouthCentral - Midcon,EGT-Flex :: Panhandle,Panhandle,EGT-Flex,Short Panhandle / Long EGT-Flex,0.1142,0.1284,0.0852,0.06275,-0.01419999999999999,-0.2602654561023818,1.7863225593444059,4.922347457456856,42.201834862385326,0.3333333333333333,109,1.0,False,59.26932122769048,,8,37.5,0.00893750000000001,-0.003599999999999992,4,,,,2,,,
SouthCentral - Midcon,EGT-Flex :: Southern Star,Southern Star,EGT-Flex,Short Southern Star / Long EGT-Flex,-0.0533,0.008400000000000019,-0.0437,-0.07025,-0.06170000000000002,-1.4107145715154568,-0.3197585822703856,2.241689877083982,16.51376146788991,0.6666666666666666,109,1.0,False,77.4404790484879,,8,62.5,0.004412500000000002,0.0047500000000000025,4,,,,2,,,
SouthCentral - Midcon,NGPL-Midcont Pool :: OGT,OGT,NGPL-Midcont Pool,Short OGT / Long NGPL-Midcont Pool,-0.16499999999999998,-0.09770000000000001,-0.14150000000000001,-0.1458,-0.06729999999999997,-2.8729891210617073,-2.4766457574531233,-4.625079493553793,0.0,1.0,109,1.0,True,98.72989121061707,,8,50.0,-0.00180000000000001,-0.0019000000000000128,4,,,,2,,,
SouthCentral - Midcon,NGPL-Midcont Pool :: Panhandle,Panhandle,NGPL-Midcont Pool,Short Panhandle / Long NGPL-Midcont Pool,-0.155,-0.09740000000000001,-0.1478,-0.15030000000000002,-0.057599999999999985,-1.9328690420821795,-1.1293798763329024,-1.4089362531288985,0.0,1.0,109,1.0,True,89.3286904208218,insufficient_backtest_events,6,,,,3,,,,2,,,
SouthCentral - Midcon,NGPL-Midcont Pool :: Southern Star,Southern Star,NGPL-Midcont Pool,Short Southern Star / Long NGPL-Midcont Pool,-0.3225,-0.22299999999999998,-0.27205,-0.28305,-0.09950000000000003,-6.5157117056234375,-1.8852110147143633,-2.9897371304889546,0.0,1.0,109,1.0,True,100.0,insufficient_backtest_events,6,,,,4,,,,2,,,
