Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
Northeast - Appalachia,Leidy-Transco,neutral,No Edge,medium,55.72772216441908,-0.3438,-0.309975,-0.033824999999999994,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,2,2,4,0.06332555165391644,0.11370000000000002,mixed_regime,0.007259602649006658,0.1870609271523178,,,insufficient_backtest_events,Current -0.344 is close to estimated fair value -0.310; no qualified regional dislocation.,108,140,4903,Leidy-Transco
Northeast - Appalachia,Rover-PEPL,rich,Structural Divergence,medium,60.0,0.025,0.015999999999999986,0.009000000000000015,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,4,4,0.6682742547809599,0.48250000000000004,rich,0.23013421052631577,0.2667549668874173,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.025 is 0.009 above fair 0.016; 0 of 4 independent forward comparisons agree. Completed-winter history also looks rich.,108,74,2973,Rover-ANR|Rover-PEPL
Northeast - Appalachia,TCO,neutral,No Edge,low,41.91542665565922,-0.4575,-0.423675,-0.033824999999999994,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,3,4,,0.0,near_fair_value,-0.11799668874172192,-0.020625000000000004,,,insufficient_backtest_events,Current -0.458 is close to estimated fair value -0.424; no qualified regional dislocation.,108,140,9741,TCO
Northeast - Appalachia,TETCO-M2 (receipt),neutral,No Edge,low,42.68327855432312,-0.4675,-0.487875,0.020374999999999976,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,3,4,1.159320243942083,-0.010000000000000009,mixed_regime,-0.08226821192052985,0.08687500000000004,,,forward_proxy_used|insufficient_backtest_events,Current -0.468 is close to estimated fair value -0.488; no qualified regional dislocation.,108,140,5088,TETCO-M2 (receipt)
Northeast - Demand,TETCO-M3,neutral,No Edge,medium,56.854811069992024,1.8983,1.9586,-0.0602999999999998,Median value implied by 2 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,1,1,2,,0.0,mixed_regime,0.5279688741721857,0.7549225165562914,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 1.898 is close to estimated fair value 1.959; no qualified regional dislocation.,108,140,9741,Millennium-Ramapo|TETCO-M3|TGP-Mahwah
Northeast - Demand,Transco-Z6 (non-NY north),neutral,No Edge,medium,55.936396082478836,1.7025,1.6160500000000004,0.08644999999999947,Median value implied by 2 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",1,0,1,2,4.0434497860851435,-0.1958000000000002,mixed_regime,0.6061754966887416,0.6629966887417218,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 1.702 is close to estimated fair value 1.616; no qualified regional dislocation.,107,140,4309,Transco-Z6 (non-NY north)|Transco-Z6 Sta-210
Northeast - Demand,Transco-Z6 (NY),neutral,No Edge,low,31.1156007758732,3.535,3.5611499999999996,-0.02614999999999945,Median value implied by 2 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,2,2,0.04314627573675276,1.6367,mixed_regime,0.16728476821192118,2.001953642384106,,,insufficient_backtest_events,Current 3.535 is close to estimated fair value 3.561; no qualified regional dislocation.,107,140,9741,Transco-Z6 (NY)
SouthCentral - Henry,ANR-SE-T,cheap,Structural Divergence,medium,60.0,-0.1125,-0.09419999999999999,-0.01830000000000001,Median value implied by 1 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,1,1,-0.5395926075812768,0.03249999999999999,cheap,-0.06899006622516556,-0.06899006622516556,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.113 is 0.018 below fair -0.094; 0 of 1 independent forward comparisons agree. Completed-winter history also looks cheap.,108,140,9731,ANR-SE|ANR-SE-T
SouthCentral - Henry,TETCO-WLA,cheap,Structural Divergence,medium,60.0,-0.1775,-0.1958,0.01830000000000001,Median value implied by 1 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,1,1,0.6297541274704955,-0.0325,cheap,-0.09611842105263153,-0.06621621621621619,,,insufficient_backtest_events,Current -0.177 is 0.018 above fair -0.196; 0 of 1 independent forward comparisons agree. Completed-winter history also looks cheap.,107,140,9700,TETCO-WLA
SouthCentral - Midcon,EGT-Flex,mixed,Mixed Evidence,low,34.691625934881515,-0.0588,-0.012025000000000008,-0.04677499999999999,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,1,2,4,-1.003485487722824,0.07440000000000002,rich,0.532308552631579,0.491305298013245,,,insufficient_backtest_events,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",108,0,4589,EGT-Flex
SouthCentral - Midcon,NGPL-Midcont Pool,cheap,Confirmed Anomaly,high,95.0,-0.3263,-0.23585,-0.09044999999999997,Median value implied by 4 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,4,0,4,-3.90211525267748,-0.19309999999999997,near_fair_value,0.1779384105960264,0.1779384105960264,Southern Star,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.326 is 0.090 below fair -0.236; 4 of 4 independent forward comparisons agree. Completed-winter history is near fair value.,108,140,9742,NGPL-AM Pool|NGPL-AM Stor|NGPL-Midcont Pool
SouthCentral - Midcon,OGT,mixed,Mixed Evidence,low,46.057528098737166,-0.1332,-0.163275,0.03007499999999999,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,2,1,1,4,0.0,0.0,rich,0.504646052631579,0.38045364238410595,,,insufficient_backtest_events,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",108,0,4606,OGT
SouthCentral - Midcon,Panhandle,mixed,Mixed Evidence,low,41.18033375583142,-0.1435,-0.1602,0.01670000000000002,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,2,1,4,-1.9920716845878064,-0.010299999999999976,rich,0.3212350993377483,0.28901655629139067,,,forward_proxy_used|insufficient_backtest_events,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",108,140,9741,Panhandle
