Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
SouthCentral - Midcon,ANR-SW :: EGT-Flex,ANR-SW,EGT-Flex,Short ANR-SW / Long EGT-Flex,0.036199999999999996,-0.035199999999999995,0.0078,0.03295,0.07139999999999999,1.280814899644385,1.3731568149917779,0.31315642404270455,91.58878504672897,1.0,107,1.0,True,82.80814899644385,,8,50.0,0.0029375,-0.0035500000000000045,4,,,,2,,,
SouthCentral - Midcon,EGT-Flex :: Southern Star,Southern Star,EGT-Flex,Short Southern Star / Long EGT-Flex,-0.0662,0.008899999999999991,-0.03805,-0.06870000000000001,-0.07509999999999999,-1.7466984840238722,-1.11034589937229,0.21899050632357092,11.214953271028037,0.6666666666666666,107,1.0,True,80.80031817357205,,8,62.5,0.004412500000000002,0.0047500000000000025,4,,,,2,,,
SouthCentral - Perryville,TETCO-ELA :: TGT-Mainline,TGT-Mainline,TETCO-ELA,Short TGT-Mainline / Long TETCO-ELA,0.01880000000000001,0.03445000000000001,0.02305,0.02095000000000001,-0.015649999999999997,-1.3798405733083279,-0.9247050734759756,-1.0001069881894387,3.7735849056603774,1.0,106,1.0,True,83.79840573308329,insufficient_backtest_events,4,,,,2,,,,1,,,
SouthCentral - Perryville,Carthage :: TGT-Mainline,Carthage,TGT-Mainline,Short Carthage / Long TGT-Mainline,-0.2912,-0.344,-0.32330000000000003,-0.32285,0.05279999999999996,1.343891022655253,3.7010518596920927,4.027855195742269,98.11320754716981,1.0,106,0.9906542056074766,True,83.43891022655254,insufficient_backtest_events,3,,,,2,,,,2,,,
SouthCentral - Perryville,Carthage :: TETCO-ELA,Carthage,TETCO-ELA,Short Carthage / Long TETCO-ELA,-0.31,-0.38055,-0.3459,-0.3457,0.07055,1.3236529368866152,3.1860813506854733,6.254368860601124,98.11320754716981,1.0,106,0.9906542056074766,True,83.23652936886614,insufficient_backtest_events,3,,,,2,,,,2,,,
SouthCentral - Perryville,Carthage :: Trunkline-Z1A,Carthage,Trunkline-Z1A,Short Carthage / Long Trunkline-Z1A,-0.2662,-0.3179,-0.30800000000000005,-0.3123,0.051700000000000024,1.289137606836967,2.9993312495874287,5.0151651632050225,100.0,1.0,106,0.9906542056074766,True,82.89137606836967,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,Carthage :: CG-Mainline,Carthage,CG-Mainline,Short Carthage / Long CG-Mainline,-0.2052,-0.2496,-0.2363,-0.2384,0.044399999999999995,1.1518226815677242,2.5897114345335965,2.714314329045201,98.13084112149532,1.0,107,1.0,True,81.51822681567724,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - TexCoast,NGPL-TXOK East :: TGP-Z0 South,TGP-Z0 South,NGPL-TXOK East,Short TGP-Z0 South / Long NGPL-TXOK East,0.18130000000000002,0.2247,0.22825,0.22005000000000005,-0.043399999999999994,-2.748629010449218,-3.9833133531353853,-3.039129875548636,16.037735849056602,1.0,106,0.9906542056074766,True,97.48629010449218,insufficient_backtest_events,4,,,,3,,,,2,,,
SouthCentral - WesTex,EP-Waha Pool :: Waha,EP-Waha Pool,Waha,Short EP-Waha Pool / Long Waha,0.08109999999999995,0.0653999999999999,0.06284999999999996,0.0665,0.015700000000000047,2.941529145495303,3.372453797382935,4.019414321778867,100.0,1.0,107,1.0,True,99.41529145495304,insufficient_backtest_events,0,,,,0,,,,0,,,
Southeast,Sonat-Z0 South :: TGP-500L,Sonat-Z0 South,TGP-500L,Short Sonat-Z0 South / Long TGP-500L,-0.010299999999999976,-0.09460000000000002,-0.021299999999999986,-0.017199999999999993,0.08430000000000004,4.323921750865173,0.7892976972598468,0.9401992404825325,98.11320754716981,1.0,106,0.9906542056074766,True,100.0,insufficient_backtest_events,5,,,,3,,,,2,,,
Southeast,TGP-500L :: Transco-85,Transco-85,TGP-500L,Short Transco-85 / Long TGP-500L,-0.08929999999999999,-0.0030999999999999917,-0.00814999999999999,-0.04680000000000001,-0.0862,-4.051644840897727,-1.5981000038401665,-1.2095298429432626,0.0,1.0,106,1.0,True,100.0,insufficient_backtest_events,4,,,,2,,,,1,,,
Southeast,FGT-Z3 :: TGP-500L,FGT-Z3,TGP-500L,Short FGT-Z3 / Long TGP-500L,0.11249999999999999,0.016900000000000026,0.05285000000000001,0.06255,0.09559999999999996,3.4667374519334553,2.1119881261301274,1.750172126537971,100.0,1.0,106,0.9906542056074766,True,100.0,insufficient_backtest_events,5,,,,3,,,,2,,,
West - California,GTN-Malin :: PG&E-Citygate,PG&E-Citygate,GTN-Malin,Short PG&E-Citygate / Long GTN-Malin,-0.4475,-0.32280000000000003,-0.36185,-0.37785,-0.12469999999999998,-2.225105759437339,-1.9955141122338644,-1.2061176225300352,0.0,1.0,107,1.0,True,92.25105759437339,insufficient_backtest_events,2,,,,1,,,,1,,,
