Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
Gulf S. Pool 16,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S01,Gulf S. Pool 16,GLOBAL,Summer,,,ICE Gulf South Pool Area #16 FDt Com,,,Gulf S. Pool 16,60,-0.3750783333333333,0.1384477054693125,0.0706824093975767,-0.3599999999999999,0.14989085999999993,-0.6499999999999999,-0.14830000000000032,2026-08-22,-0.3599999999999999,-0.315,Watch,Watch,W,True,Gulf S. Pool 16 [Watch],Subgroup,0.9398036958130116,1.4025815577891494,history=Higher than own-history expected value; peers=slightly below peer-implied value; subgroup peers=6; peer model trusted; peer score v2=1.37 watch; history/peer direction disagree; pattern=in-line transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.01; transition mean=-0.01; transition delta=+0.02; transition magnitude delta=-0.01; component current-month sd=0.09; component historical month sd=0.22; transition degree scale source=current-month; actual-to-date z=-0.24; mark z=-0.11; transition z=0.24; pattern years=11,2026-06-24,2026-08-24,True
Moss Bluff Inter,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,Unassigned,3,Global_G04,Global_G04_S01,Moss Bluff Inter,GLOBAL,Summer,,,ICE Moss Bluff Interconnect (buyers' choice dlvd) FDt Com,,,Moss Bluff Inter,60,-0.2841266666666667,0.11921003806366823,0.05759125850936051,-0.26364999999999994,0.0759832499999997,-0.5747999999999998,-0.1200000000000001,2026-08-22,-0.28000000000000025,0.6025,Strong outlier,Strong outlier,SO,True,Moss Bluff Inter [Strong outlier],Subgroup,0.8987595221423866,23.94427113270377,Strong: own-history |z| alone clears the strong tier (≥4); history=very far above own-history expected value; own z=11.40 (very high); peers=very far above peer-implied value; subgroup peers=6; peer model trusted; peer score v2=21.06 (high); history/peer direction agree; pattern=very stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.84; transition mean=+0.04; transition delta=+0.79; transition magnitude delta=+0.79; transition degree=very strong; transition degree score=12.27; component current-month sd=0.06; component historical month sd=0.10; transition degree scale source=current-month; actual-to-date z=-1.51; mark z=4.65; transition z=12.03; pattern years=12,2026-06-24,2026-08-24,True
TGT-Mainline,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - Perryville,3,Global_G04,Global_G04_S01,TGT-Mainline,GLOBAL,Summer,,Texas Gas Zn 1 FDt Com,ICE Texas Gas Mainline Pool FDt Com,"Texas Gas, zone 1",,TGT-Mainline,62,-0.32556451612903226,0.1159144145787704,0.05613204085839889,-0.31499999999999995,0.12231449999999969,-0.5799999999999996,-0.16000000000000014,2026-08-24,-0.3599999999999999,-0.2967,In-family,,,False,,Subgroup,0.9534954059201804,1.074525766052017,history=Higher than own-history expected value; peers=Lower than peer-implied value; subgroup peers=6; peer model trusted; history/peer direction disagree; pattern=mild weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.00; transition mean=-0.06; transition delta=+0.06; transition magnitude delta=-0.05; transition degree=mild; transition degree score=0.73; component current-month sd=0.08; component historical month sd=0.13; transition degree scale source=current-month; actual-to-date z=-0.63; mark z=-0.12; transition z=0.46; pattern years=26,2026-06-24,2026-08-24,True
Trunkline-Z1A,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - Perryville,3,Global_G04,Global_G04_S01,Trunkline-Z1A,GLOBAL,Summer,TRUNKLINE-Z1A,Trunkline Zn 1A FDt Com,,"Trunkline, zone 1A",,Trunkline-Z1A,62,-0.3464516129032258,0.12035258003859346,0.060787185880028335,-0.3274999999999999,0.12231450000000002,-0.6099999999999999,-0.16000000000000014,2026-08-24,-0.375,-0.4175,Outlier,Outlier,O,True,Trunkline-Z1A [Outlier],Subgroup,0.9498088219160198,5.639411368500047,history=Lower than own-history expected value; peers=very far below peer-implied value; subgroup peers=6; peer model trusted; peer score v2=5.59 (high); history/peer direction agree; pattern=slight stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.10; transition mean=-0.07; transition delta=-0.02; transition magnitude delta=+0.02; transition degree=slight; transition degree score=0.31; component current-month sd=0.08; component historical month sd=0.15; transition degree scale source=current-month; actual-to-date z=-0.57; mark z=-0.48; transition z=-0.24; pattern years=18,2026-06-24,2026-08-24,True
Bennington,Global_G04,4,regular,Global_G04_S02,2,supergroup,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S02,Bennington,GLOBAL,Summer,,,ICE Bennington Oklahoma (buyers' choice) FDt Com,,NGPL-TXOK East,Bennington,60,-0.31724499999999994,0.13388293067870385,0.06042790894952172,-0.27734999999999976,0.10808153999999962,-0.5803999999999996,-0.121,2026-08-22,-0.2722000000000002,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-24,2026-08-24,False
MEP-Lamar,Global_G04,4,regular,Global_G04_S02,2,supergroup,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S02,MEP-Lamar,GLOBAL,Summer,,,ICE MEP-Lamar FDt Com,,NGPL-TXOK East,MEP-Lamar,60,-0.31592666666666663,0.13734300111327935,0.06228086375965527,-0.2840999999999998,0.11883038999999991,-0.5873999999999997,-0.11319999999999997,2026-08-22,-0.2715000000000001,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-24,2026-08-24,False
NGPL-TXOK East,Global_G04,4,regular,Global_G04_S02,2,supergroup,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S02,NGPL-TXOK East,GLOBAL,Summer,NGPL-TXOK EAST,NGPL Texok Zn FDt Com,ICE NGPL TXOK East Pool FDt Com,"NGPL, Texok zone",,NGPL-TXOK East,62,-0.36685483870967733,0.13554756551552918,0.05955630572754294,-0.3424999999999998,0.12231449999999969,-0.645,-0.15500000000000025,2026-08-24,-0.3450000000000002,-0.3638,Watch,Watch,W,True,NGPL-TXOK East [Watch],Parent,0.9584940119424386,1.6600514403119475,history=Lower than own-history expected value; peers=slightly below peer-implied value; parent peers=9; peer model trusted; peer score v2=1.65; history/peer direction agree; pattern=in-line transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.05; transition mean=-0.05; transition delta=-0.00; transition magnitude delta=+0.00; component current-month sd=0.07; component historical month sd=0.17; transition degree scale source=current-month; actual-to-date z=-0.54; mark z=-0.29; transition z=-0.01; pattern years=26,2026-06-24,2026-08-24,True
Agua Dulce Hub,Global_G05,5,regular,Global_G05_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G05,Global_G05_S01,Agua Dulce Hub,GLOBAL,Summer,,Agua Dulce Hub FDt Com,ICE Agua Dulce Hub FDt Com,,HSC-HPL Pool,Agua Dulce Hub,62,-0.4470967741935485,0.1265188004790967,0.06852944004590625,-0.45999999999999996,0.1371404999999997,-0.6949999999999998,-0.14000000000000012,2026-08-24,-0.5150000000000001,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-24,2026-08-24,False
TETCO-STX,Global_G05,5,regular,Global_G05_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G05,Global_G05_S01,TETCO-STX,GLOBAL,Summer,TETCO-STX,TX Eastern S TX FDt Com,,"Texas Eastern, STX",,TETCO-STX,62,-0.4316935483870968,0.1249555447125723,0.06516760652264827,-0.41500000000000004,0.1334340000000001,-0.6749999999999998,-0.2150000000000003,2026-08-24,-0.45999999999999996,-0.5075,In-family,,,False,,Subgroup,0.9551390998808944,1.317706932996186,history=Lower than own-history expected value; peers=Lower than peer-implied value; subgroup peers=3; peer model trusted; history/peer direction agree; pattern=moderate stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.13; transition mean=+0.00; transition delta=-0.13; transition magnitude delta=+0.12; transition degree=moderate; transition degree score=1.30; component current-month sd=0.09; component historical month sd=0.14; transition degree scale source=current-month; actual-to-date z=-1.51; mark z=-2.03; transition z=-1.44; pattern years=26,2026-06-24,2026-08-24,True
Transco-30,Global_G05,5,regular,Global_G05_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G05,Global_G05_S01,Transco-30,GLOBAL,Summer,TRANSCO-30,Transco Zn1 FDt Com,,"Transco, zone 1",,Transco-30,62,-0.4433870967741936,0.12631529051410442,0.06775972093670961,-0.4474999999999998,0.1260209999999996,-0.69,-0.18000000000000016,2026-08-24,-0.4950000000000001,-0.475,In-family,,,False,,Subgroup,0.9524119944435864,1.14009728814948,history=Lower than own-history expected value; peers=Higher than peer-implied value; subgroup peers=3; peer model trusted; history/peer direction disagree; pattern=mild stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.09; transition mean=-0.03; transition delta=-0.06; transition magnitude delta=+0.06; transition degree=mild; transition degree score=0.76; component current-month sd=0.08; component historical month sd=0.15; transition degree scale source=current-month; actual-to-date z=-1.05; mark z=-0.94; transition z=-0.55; pattern years=26,2026-06-24,2026-08-24,True
