Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G02,2,regular,Global_G02_S04,4,supergroup,APC-ACE,Midwest,Midwest - Chicago,In-family,63,-0.2649761904761905,0.12823065246037993,0.06445091526567143,-0.2549999999999999,0.08154299999999957,-0.605,-0.05500000000000016,2026-09-03,-0.17349999999999977
Global_G02,2,regular,Global_G02_S04,4,supergroup,Consumers,Midwest,Midwest - Demand,Strong outlier,63,-0.2546222222222222,0.12021737360948584,0.06704082286335439,-0.25,0.09636899999999991,-0.5549999999999997,-0.06000000000000005,2026-09-03,-0.18120000000000003
Global_G02,2,regular,Global_G02_S05,5,regular,Michcon,Midwest,Midwest - Demand,In-family,63,-0.35223492063492057,0.18351830194282384,0.07608155995511394,-0.27500000000000036,0.14826000000000078,-0.8249999999999997,-0.11500000000000021,2026-09-03,-0.5758000000000001
Global_G02,2,regular,Global_G02_S05,5,regular,Union-Dawn,Northeast,Northeast - Appalachia,In-family,62,-0.24403225806451606,0.11903587663374889,0.0619253913864148,-0.25,0.0704234999999998,-0.5349999999999997,-0.06000000000000005,2026-09-02,-0.19999999999999973
Global_G03,3,regular,Global_G03_S01,1,regular,Carthage,South Central,SouthCentral - Perryville,In-family,63,-0.3424730158730158,0.12698579702946863,0.07016780528843153,-0.33999999999999986,0.05930400000000005,-0.6799999999999997,-0.13500000000000023,2026-09-03,-0.20579999999999998
Global_G03,3,regular,Global_G03_S01,1,regular,NGPL-AM Pool,South Central,SouthCentral - Midcon,Watch,63,-0.34483968253968245,0.14028809015239768,0.07559192576685855,-0.31499999999999995,0.11119500000000025,-0.7249999999999996,-0.13500000000000023,2026-09-03,-0.30489999999999995
Global_G03,3,regular,Global_G03_S01,1,regular,NGPL-MidAm,Midwest,Midwest - Chicago,In-family,44,-0.27871136363636356,0.13585984778424312,0.06951519436829627,-0.23999999999999977,0.08154300000000023,-0.5899999999999999,-0.10000000000000009,2026-09-02,-0.20009999999999994
Global_G03,3,regular,Global_G03_S01,1,regular,PGLC,Midwest,Midwest - Demand,In-family,62,-0.2725290322580645,0.1291938236191777,0.06893928840899646,-0.25250000000000017,0.0926625,-0.605,-0.05500000000000016,2026-09-02,-0.20499999999999963
Global_G03,3,regular,Global_G03_S02,2,supergroup,Bennington,South Central,SouthCentral - TexCoast,No forward mark,63,-0.2838714285714285,0.11343447224317454,0.06076798741568741,-0.2601,0.05663532000000034,-0.5803999999999996,-0.121,2026-09-03,-0.17169999999999996
Global_G03,3,regular,Global_G03_S02,2,supergroup,MEP-Lamar,South Central,SouthCentral - TexCoast,No forward mark,63,-0.2825746031746031,0.11709446967499791,0.061632888526951,-0.26180000000000003,0.05796966000000053,-0.5873999999999997,-0.11319999999999997,2026-09-03,-0.1842999999999999
