Price Region,Market Comp,Live,Change,Regional Signal,11-Aug,4-Aug,28-Jul,21-Jul,14-Jul,7-Jul,30-Jun,23-Jun,16-Jun,9-Jun,2-Jun,26-May,19-May,12-May,5-May,28-Apr,21-Apr,14-Apr,7-Apr,1-Apr,Sum25,Sum24,Sum23,Sum22,Sum21
Mountain - WesTex,EP-SJ Bondad Stn,-0.6812,0.0597,Not screened,-0.7409,-0.7657,-0.7496,-0.7032,-0.7971,-0.811,-0.8471,-0.7973,-0.6659,-0.7569,-0.8019,-0.8228,-0.8673,-0.9123,-0.9197,-0.9772,-0.9965,-1.0126,-0.9372,-0.9121,0.1086598131,-0.1197747664,-0.5538401869,-0.0864102804,-0.4442140187
SouthCentral - WesTex,EP-Waha Pool,-1.3776,-0.0272,Not screened,-1.3504,-1.3949,-1.3687,-1.2565,-1.4644,-1.5668,-1.6344,-1.6857,-1.6007,-1.8559,-1.8834,-1.7681,-1.873,-1.7908,-1.6161,-1.4325,-1.3986,-1.4072,-1.2619,-1.2633,1.291535514,1.4960214953,-0.6312214953,-0.1561514019,-1.0838383178
Southeast,FGT-Z3,0.4738,-0.0175,Neutral,0.4913,0.4916,0.497,0.5209,0.5209,0.5209,0.5549,0.5863,0.5403,0.5178,0.5178,0.5178,0.5178,0.5171,0.5067,0.4859,0.4859,0.4859,0.4759,0.4759,0.0916037383,-0.0016439252,0.1392439252,-0.3559663551,0.4015570093
West - California,GTN-Malin,-0.5849,0.0382,Not screened,-0.6231,-0.6327,-0.6079,-0.6065,-0.6851,-0.6778,-0.805,-0.6901,-0.5547,-0.5257,-0.5468,-0.5829,-0.6504,-0.6978,-0.6899,-0.7253,-0.7853,-0.8123,-0.7778,-0.7578,0.0523327103,-0.1796747664,-1.0816682243,-0.2630074766,-0.631685514
SouthCentral - TexCoast,Gulf S. Pool 16,-0.3775,0.0033,Not screened,-0.3808,-0.3751,-0.3679,-0.3454,-0.3754,-0.3871,-0.3992,-0.4036,-0.4085,-0.4282,-0.4748,-0.4798,-0.4826,-0.4669,-0.4507,-0.4346,-0.4421,-0.4471,-0.4042,-0.4199,-0.1017619718,-0.0880783019,0.0620325359,0.2945556604,-0.1248090909
SouthCentral - Perryville,Gulf South - Perryville,-0.2875,-0.0096,Not screened,-0.2779,-0.2854,-0.2854,-0.275,-0.285,-0.3015,-0.3054,-0.2894,-0.2923,-0.3048,-0.3223,-0.3198,-0.3198,-0.313,-0.2929,-0.2879,-0.2879,-0.2879,-0.2804,-0.2801,-0.0670665072,-0.15546,-0.0498509804,0.1637192661,-0.10196
SouthCentral - TexCoast,HSC-HPL Pool,-0.3775,0.0033,Neutral,-0.3808,-0.3751,-0.3679,-0.3454,-0.3754,-0.3871,-0.3992,-0.4036,-0.4085,-0.4282,-0.4748,-0.4798,-0.4826,-0.4669,-0.4507,-0.4346,-0.4421,-0.4471,-0.4042,-0.4199,-0.0027102804,-0.0637383178,-0.1361682243,0.1064719626,-0.3240654206
Northeast - Demand,Iroquois (into),-0.1912,0.0,Not screened,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.0206158879,0.1560897196,0.159664486,0.1441301887,-0.0129757009
Northeast - Demand Rest,Iroquois-Z2,0.0813,0.015,Not screened,0.0663,0.0498,0.0588,0.0827,0.0652,0.0352,0.0427,0.0991,0.1116,0.1216,0.1391,0.1566,0.1566,0.1566,0.1566,0.1591,0.1591,0.1591,0.1591,0.1591,0.0802018692,0.2617439252,0.2318373832,0.2551785047,0.243028972
West - California,KRGT-Del Pool,0.1367,0.0947,Not screened,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.6769803738,0.4047841121,-0.6276224299,-0.1743747664,-0.6932299065
Northeast - Appalachia,Leidy-Transco,-0.72,0.0061,Rich,-0.7261,-0.7322,-0.7282,-0.744,-0.754,-0.7876,-0.8223,-0.8134,-0.8566,-0.8623,-0.848,-0.8134,-0.8506,-0.8609,-0.8773,-0.8545,-0.8417,-0.8105,-0.823,-0.8204,0.1546028037,-0.0860747664,0.3940654206,0.1894626168,0.1594626168
Midwest - Demand,Michcon,-0.28,0.0075,Neutral,-0.2875,-0.2849,-0.2896,-0.2903,-0.2928,-0.3081,-0.3306,-0.3317,-0.3209,-0.3302,-0.3441,-0.3466,-0.3641,-0.3523,-0.3354,-0.3279,-0.3444,-0.3565,-0.3565,-0.3565,-0.0037149533,0.0867056075,0.0040654206,0.1526401869,-0.1157242991
Northeast - Appalachia,Millennium East Pool,-0.7248,0.0007,Not screened,-0.7255,-0.7294,-0.7276,-0.742,-0.752,-0.7827,-0.8124,-0.8156,-0.8492,-0.852,-0.8392,-0.8028,-0.8375,-0.8489,-0.865,-0.8244,-0.8126,-0.7989,-0.8154,-0.8124,0.1637046729,-0.097346729,0.4490785047,0.2306205607,0.1549429907
Northeast - Demand,Millennium-Ramapo,-0.6288,0.0034,Not screened,-0.6322,-0.641,-0.6374,-0.6456,-0.6503,-0.6778,-0.6899,-0.6978,-0.7171,-0.7249,-0.7202,-0.6974,-0.7174,-0.7306,-0.7374,-0.6923,-0.6942,-0.6803,-0.6803,-0.6732,0.1952165094,-0.0384481308,0.4686135514,0.2190933014,0.1474546729
Midwest - Chicago,NBPL-Ventura,-0.3575,0.0063,Not screened,-0.3638,-0.3671,-0.367,-0.3616,-0.3694,-0.3826,-0.4069,-0.4054,-0.39,-0.4072,-0.4222,-0.4207,-0.43,-0.424,-0.4,-0.394,-0.3975,-0.4057,-0.4047,-0.4047,0.0067990654,0.0570794393,-0.031635514,0.1974766355,-0.142453271
SouthCentral - Midcon,NGPL-AM Stor,-0.4075,0.0169,Not screened,-0.4244,-0.4219,-0.4043,-0.3918,-0.425,-0.425,-0.485,-0.4525,-0.4275,-0.4639,-0.4839,-0.4886,-0.5125,-0.4899,-0.5009,-0.5209,-0.5616,-0.5653,-0.5528,-0.5503,0.0186915888,0.0495560748,-0.0609345794,0.2275233645,-0.1618691589
Midwest - Chicago,NGPL-MidAm,-0.2698,0.0063,Not screened,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0081825641,0.0681009479,0.0062516484,0.0779444444,-0.1273306818
SouthCentral - Midcon,NGPL-Midcont Pool,-0.4075,0.0169,Neutral,-0.4244,-0.4219,-0.4043,-0.3918,-0.425,-0.425,-0.485,-0.4525,-0.4275,-0.4639,-0.4839,-0.4886,-0.5125,-0.4899,-0.5009,-0.5209,-0.5616,-0.5653,-0.5528,-0.5503,0.0186915888,0.0495560748,-0.0609345794,0.2275233645,-0.1618691589
Midwest - Chicago,NGPL-Nicor,-0.2698,0.0063,Not screened,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0117420561,0.0587514019,-0.0103841121,0.1427,-0.1532813084
Midwest - Chicago,NGPL-Nipsco,-0.2698,0.0063,Not screened,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.010971028,0.0588915888,0.0024897196,0.1511813084,-0.1226504673
SouthCentral - TexCoast,NGPL-STX,-0.4885,0.0026,Not screened,-0.4911,-0.4854,-0.4782,-0.4557,-0.4857,-0.4974,-0.5095,-0.5138,-0.5188,-0.5385,-0.585,-0.59,-0.5929,-0.5772,-0.561,-0.5449,-0.5524,-0.5573,-0.5145,-0.5302,0.0011728972,-0.1445046729,-0.1772850467,0.0522038835,-0.341547619
SouthCentral - TexCoast,NGPL-TXOK East,-0.3475,0.0025,Neutral,-0.35,-0.3525,-0.345,-0.3272,-0.3461,-0.36,-0.3804,-0.3818,-0.3843,-0.4004,-0.426,-0.4421,-0.4518,-0.4382,-0.425,-0.4121,-0.4246,-0.4324,-0.3928,-0.3931,-0.0319158879,-0.0131542056,-0.0286915888,0.2060280374,-0.1502102804
Midwest - Chicago,NNG-Demarc,-0.3812,0.0056,Neutral,-0.3868,-0.3953,-0.3892,-0.3853,-0.4077,-0.4223,-0.4501,-0.4354,-0.42,-0.4344,-0.4523,-0.4614,-0.4582,-0.4822,-0.4582,-0.4742,-0.4778,-0.4881,-0.487,-0.487,0.004711215,0.0426785047,-0.0652420561,0.1582392523,-0.2230457944
Midwest - Chicago,NNG-Ventura,-0.3575,0.0063,Neutral,-0.3638,-0.3671,-0.367,-0.3616,-0.3694,-0.3826,-0.4069,-0.4054,-0.39,-0.4072,-0.4222,-0.4207,-0.43,-0.424,-0.4,-0.394,-0.3975,-0.4057,-0.4047,-0.4047,0.0132009346,0.0548130841,-0.0290654206,0.1928738318,-0.1432009346
Mountain - Opal,NWP-Rocky Mtn,-0.4852,0.0725,Rich,-0.5577,-0.585,-0.5634,-0.5502,-0.6295,-0.6222,-0.7326,-0.6502,-0.5351,-0.5601,-0.5895,-0.6255,-0.693,-0.7294,-0.73,-0.7972,-0.8604,-0.8629,-0.7808,-0.7608,0.2480410628,0.0521364486,-0.3763267606,0.1094495327,-0.2407607477
West - California,NWP-Sumas,-0.7403,0.0795,Neutral,-0.8198,-0.8471,-0.8673,-0.8526,-0.9295,-0.9679,-1.0751,-0.992,-0.8744,-0.9094,-0.9627,-1.0351,-1.1215,-1.1944,-1.1957,-1.3146,-1.3778,-1.3803,-1.2983,-1.2783,1.2889056075,-0.0568654206,-1.031888785,0.0903775701,-0.6746925234
Mountain - WesTex,NWP-Wyoming,-0.4852,0.0725,Neutral,-0.5577,-0.585,-0.5634,-0.5502,-0.6295,-0.6222,-0.7326,-0.6502,-0.5351,-0.5601,-0.5895,-0.6255,-0.693,-0.7294,-0.73,-0.7972,-0.8604,-0.8629,-0.7808,-0.7608,0.2462252336,0.0681098131,-0.3893845794,0.1101037383,-0.2454724299
SouthCentral - Midcon,OGT,-0.48,0.0036,Neutral,-0.4836,-0.4782,-0.4732,-0.4596,-0.4928,-0.5018,-0.5557,-0.5157,-0.4953,-0.52,-0.5414,-0.5511,-0.5718,-0.576,-0.592,-0.6117,-0.6545,-0.6596,-0.6446,-0.6446,-0.0395126168,-0.0518869159,-0.1362485981,0.2023471963,-0.2190314286
SouthCentral - WesTex,ONEOK Westex,-1.4725,-0.0325,Not screened,-1.44,-1.4845,-1.4583,-1.3429,-1.5475,-1.6299,-1.6989,-1.7502,-1.6602,-1.9154,-1.943,-1.8276,-1.9297,-1.8478,-1.6724,-1.4902,-1.4596,-1.4652,-1.3249,-1.3249,-1.0306775701,-1.0466588785,-1.1288084112,-0.7368925234,-1.2024299065
SouthCentral - Midcon,Panhandle,-0.4625,0.0055,Neutral,-0.468,-0.4679,-0.4628,-0.4528,-0.485,-0.49,-0.55,-0.5175,-0.4925,-0.52,-0.54,-0.5446,-0.5751,-0.5796,-0.5906,-0.6181,-0.6524,-0.6561,-0.6436,-0.6411,0.0246495327,0.0131308411,-0.0731775701,0.1994392523,-0.1744626168
West - California,PG&E-Citygate,0.061,0.1466,Cheap,-0.0856,-0.1316,-0.0708,-0.1097,-0.2298,-0.2573,-0.3323,-0.163,0.0449,0.0381,0.0249,0.0106,-0.0554,-0.1153,-0.1053,-0.182,-0.2002,-0.2023,-0.1441,-0.1347,-0.0357523364,-0.549771028,-2.0468271028,-0.9997242991,-1.2350747664
West - California,PG&E-Topock,0.1367,0.0947,Not screened,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.8565051402,0.572511215,-0.2796934579,0.1948920561,0.2534383178
Midwest - Demand,PGLC,-0.2698,0.0063,Neutral,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0076299065,0.060971028,0.0038682243,0.1485878505,-0.1250570093
SouthCentral - Henry,Pine Prairie,-0.1257,0.0,Not screened,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.1257,-0.0336672897,-0.0685971963,-0.1197420561,-0.0656065421,-0.0850457944
Midwest - Chicago,REX E-ANR,-0.3237,0.0116,Not screened,-0.3353,-0.332,-0.3349,-0.3345,-0.3528,-0.3603,-0.3786,-0.3732,-0.3603,-0.3699,-0.378,-0.3869,-0.4022,-0.3809,-0.3666,-0.3549,-0.381,-0.4056,-0.3952,-0.4002,0.025611215,0.0515107477,0.0111658879,0.2250873832,-0.0844219626
Midwest - Chicago,REX E-MidW,-0.3237,0.0116,Neutral,-0.3353,-0.332,-0.3349,-0.3345,-0.3528,-0.3603,-0.3786,-0.3732,-0.3603,-0.3699,-0.378,-0.3869,-0.4022,-0.3809,-0.3666,-0.3549,-0.381,-0.4056,-0.3952,-0.4002,-0.0023537383,0.0486901869,-0.0086406542,0.1433439252,-0.1350672897
Midwest - Chicago,REX E-NGPL,-0.3237,0.0116,Not screened,-0.3353,-0.332,-0.3349,-0.3345,-0.3528,-0.3603,-0.3786,-0.3732,-0.3603,-0.3699,-0.378,-0.3869,-0.4022,-0.3809,-0.3666,-0.3549,-0.381,-0.4056,-0.3952,-0.4002,-0.0044551402,0.0453135514,-0.0102542056,0.1540981308,-0.1387266355
Northeast - Appalachia,Rover-ANR,-0.3237,0.0116,Not screened,-0.3353,-0.332,-0.3349,-0.3345,-0.3528,-0.3603,-0.3786,-0.3732,-0.3603,-0.3699,-0.378,-0.3869,-0.4022,-0.3809,-0.3666,-0.3549,-0.381,-0.4056,-0.3952,-0.4002,0.0324682243,0.068753271,0.025482243,0.2135401869,-0.0816672897
Northeast - Appalachia,Rover-PEPL,-0.3237,0.0116,Neutral,-0.3353,-0.332,-0.3349,-0.3345,-0.3528,-0.3603,-0.3786,-0.3732,-0.3603,-0.3699,-0.378,-0.3869,-0.4022,-0.3809,-0.3666,-0.3549,-0.381,-0.4056,-0.3952,-0.4002,0.0324682243,0.068753271,0.025482243,0.2134523364,-0.0816672897
Mountain - Opal,Ruby-Rec Pool,-0.4852,0.0725,Not screened,-0.5577,-0.585,-0.5634,-0.5502,-0.6295,-0.6222,-0.7326,-0.6502,-0.5351,-0.5601,-0.5895,-0.6255,-0.693,-0.7294,-0.73,-0.7972,-0.8604,-0.8629,-0.7808,-0.7608,0.1970603015,-0.0465929577,-0.8937507042,-0.0365957895,-0.4269174528
West - California,Socal-Border,0.1367,0.0947,Neutral,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.7217,0.4593869159,-0.5244214953,-0.0910102804,-0.5963607477
West - California,Socal-Citygate,0.9303,0.066,Not screened,0.8643,0.8594,0.9081,0.9404,0.8117,0.9701,0.7957,0.9542,1.2149,1.0034,0.9401,0.9103,0.8514,0.7397,0.7405,0.5636,0.506,0.5096,0.5779,0.5968,0.737753271,1.0041084112,-1.6807981308,0.3004168224,-0.5937420561
West - California,Socal-Ehrenberg,0.1367,0.0947,Not screened,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.6779934579,0.4598252336,-0.3843981308,-0.4494004673,-0.8918696262
West - California,Socal-Needles,0.1367,0.0947,Not screened,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.7262509346,0.2676993056,-0.5648853081,0.0111321608,0.1517655172
Southeast,Sonat-Z0 South,0.275,0.0046,Neutral,0.2704,0.2747,0.2836,0.295,0.295,0.3025,0.3093,0.3692,0.3557,0.3319,0.3273,0.3091,0.3161,0.3196,0.3131,0.2873,0.2873,0.2937,0.2912,0.2912,-0.0329906542,0.0978738318,0.2130607477,-0.1595093458,0.3275233645
SouthCentral - Midcon,Southern Star,-0.4575,0.0093,Neutral,-0.4668,-0.4697,-0.4597,-0.4472,-0.4825,-0.4879,-0.5479,-0.5189,-0.4971,-0.5246,-0.5454,-0.565,-0.5787,-0.5807,-0.5871,-0.6092,-0.6399,-0.6436,-0.6257,-0.6182,0.0119392523,-0.0029439252,-0.1136448598,0.1465654206,-0.2063785047
Northeast - Appalachia,TCO,-0.5973,0.0078,Neutral,-0.6051,-0.6147,-0.6129,-0.6426,-0.6426,-0.6602,-0.6777,-0.6913,-0.7199,-0.7155,-0.6991,-0.7002,-0.7002,-0.717,-0.6973,-0.6923,-0.673,-0.6705,-0.6701,-0.6665,0.0932841121,-0.0918327103,0.3075598131,0.2141018692,-0.0744962617
Northeast - Appalachia,TCO-A06 Pool,-0.7873,-0.0007,Not screened,-0.7866,-0.7927,-0.7927,-0.8053,-0.8142,-0.8454,-0.8754,-0.875,-0.909,-0.914,-0.9029,-0.8691,-0.9037,-0.9152,-0.9249,-0.8875,-0.8754,-0.8613,-0.8785,-0.873,0.0212294416,-0.2329507177,0.258908867,0.1094361842,-0.0875023364
SouthCentral - Perryville,TETCO-ELA,-0.2263,-0.011,Cheap,-0.2153,-0.2153,-0.2153,-0.2153,-0.2153,-0.2153,-0.2078,-0.2078,-0.2078,-0.2078,-0.2078,-0.2003,-0.1978,-0.1978,-0.1928,-0.1928,-0.1928,-0.1928,-0.1903,-0.1903,0.0106626168,-0.0510897196,0.0217841121,0.1771813084,-0.049711215
Northeast - Appalachia,TETCO-M2 (receipt),-0.7873,-0.0007,Neutral,-0.7866,-0.7927,-0.7927,-0.8053,-0.8142,-0.8454,-0.8754,-0.875,-0.909,-0.914,-0.9029,-0.8691,-0.9037,-0.9152,-0.9249,-0.8875,-0.8754,-0.8613,-0.8785,-0.873,0.0826299065,-0.131388785,0.3571626168,0.2015084112,0.0092420561
Northeast - Demand,TETCO-M3,-0.6288,0.0034,Neutral,-0.6322,-0.641,-0.6374,-0.6456,-0.6503,-0.6778,-0.6899,-0.6978,-0.7171,-0.7249,-0.7202,-0.6974,-0.7174,-0.7306,-0.7374,-0.6923,-0.6942,-0.6803,-0.6803,-0.6732,0.1360598131,-0.0687299065,0.3958728972,0.1517373832,-0.0347345794
SouthCentral - TexCoast,TETCO-STX,-0.3546,0.0025,Not screened,-0.3571,-0.3514,-0.3442,-0.3217,-0.3517,-0.3634,-0.3756,-0.3799,-0.3849,-0.4045,-0.4511,-0.4561,-0.459,-0.4432,-0.4271,-0.4109,-0.4184,-0.4234,-0.3805,-0.3962,0.0132169014,-0.2274037383,-0.2820065421,-0.0691794393,-0.357053271
SouthCentral - Henry,TETCO-WLA,-0.195,0.0029,Not screened,-0.1979,-0.1979,-0.1979,-0.1904,-0.1943,-0.1954,-0.1954,-0.1836,-0.1766,-0.1766,-0.1741,-0.1702,-0.168,-0.1645,-0.157,-0.1645,-0.1645,-0.1645,-0.162,-0.162,-0.0807009346,-0.1079672897,-0.1546962617,-0.0781775701,-0.1436448598
Southeast,TGP-500L,0.3075,-0.0069,Rich,0.3144,0.303,0.318,0.3305,0.3305,0.3255,0.3844,0.4044,0.3994,0.3719,0.3694,0.3448,0.3585,0.3632,0.352,0.3221,0.3221,0.3257,0.3232,0.3232,0.0046495327,0.1646028037,0.2901869159,0.3209345794,0.370046729
SouthCentral - Henry,TGP-800L,-0.1988,0.0043,Not screened,-0.2031,-0.2156,-0.2181,-0.2002,-0.2106,-0.2306,-0.2342,-0.2179,-0.2207,-0.2332,-0.2507,-0.2482,-0.2482,-0.2407,-0.2207,-0.2157,-0.2157,-0.2157,-0.2082,-0.2078,0.0182794393,-0.0386364486,-0.012211215,0.022835514,-0.0958093458
Northeast - Demand,TGP-Mahwah,-0.6288,0.0034,Not screened,-0.6322,-0.641,-0.6374,-0.6456,-0.6503,-0.6778,-0.6899,-0.6978,-0.7171,-0.7249,-0.7202,-0.6974,-0.7174,-0.7306,-0.7374,-0.6923,-0.6942,-0.6803,-0.6803,-0.6732,0.2076215962,-0.0283587678,0.4680443925,0.235803271,0.151396729
SouthCentral - Mexico,TGP-Z0 North,-0.485,0.0246,Not screened,-0.5096,-0.5039,-0.4967,-0.4742,-0.5042,-0.5159,-0.5366,-0.547,-0.552,-0.5717,-0.6182,-0.6236,-0.6265,-0.6107,-0.5946,-0.5634,-0.5255,-0.542,-0.4627,-0.4784,-0.1016640187,-0.189667757,-0.1394883178,0.0635009346,-0.284528972
