Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
Northeast - Appalachia,Rover-PEPL,neutral,No Edge,low,39.40557540965362,-0.3237,-0.28869999999999996,-0.03500000000000003,Median value implied by 6 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,5,6,-0.8421607787815122,0.3963,near_fair_value,0.032468224299065374,0.032468224299065374,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.324 is close to estimated fair value -0.289; no qualified regional dislocation.,99,74,2958,Rover-ANR|Rover-PEPL
Northeast - Appalachia,TCO,neutral,No Edge,low,30.666303871109484,-0.5973,-0.5914499999999999,-0.005850000000000133,Median value implied by 6 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,6,6,-0.7130330885895445,0.12269999999999992,near_fair_value,0.0932841121495327,0.0932841121495327,,,insufficient_backtest_events,Current -0.597 is close to estimated fair value -0.591; no qualified regional dislocation.,99,140,9727,TCO
Northeast - Appalachia,TETCO-M2 (receipt),neutral,No Edge,low,44.48035864765951,-0.7873,-0.7818499999999999,-0.005450000000000066,Median value implied by 6 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,2,4,6,-1.5501454296743,-0.06730000000000003,near_fair_value,0.08262990654205604,0.08262990654205604,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.787 is close to estimated fair value -0.782; no qualified regional dislocation.,99,140,5074,TCO-A06 Pool|TETCO-M2 (receipt)
Northeast - Appalachia,TGP-Z4 Marcellus,rich,Structural Divergence,medium,60.0,-0.79,-0.81395,0.023949999999999916,Median value implied by 6 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",2,0,4,6,0.498842124196221,-0.07000000000000006,rich,0.17656542056074775,0.18992990654205621,TETCO-M2 (receipt),,insufficient_backtest_events,Current -0.790 is 0.024 above fair -0.814; 2 of 6 independent forward comparisons agree. Completed-summer history also looks rich.,99,140,6898,TGP-Z4 Marcellus
Northeast - Appalachia,TGP-Z4 Sta-219,neutral,No Edge,low,38.62904093747212,-0.591,-0.59975,0.008750000000000036,Median value implied by 6 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,5,6,-0.08647317429187093,0.129,near_fair_value,0.17682710280373837,0.16586915887850473,,,insufficient_backtest_events,Current -0.591 is close to estimated fair value -0.600; no qualified regional dislocation.,99,0,4889,TGP-Z4 Sta-219
Northeast - Demand,AGT-CG (non-G),mixed,Mixed Evidence,medium,55.169656963870736,-0.155,-0.06600000000000006,-0.08899999999999994,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,2,1,3,-1.1013673204455297,0.3144,rich,0.2049299065420561,0.20591121495327094,,,forward_proxy_used|insufficient_backtest_events,"Forward comparisons and completed-summer history disagree, so no single directional conclusion is reliable.",99,140,9725,AGT-CG (non-G)
Northeast - Demand,TETCO-M3,neutral,No Edge,low,44.73597225666735,-0.6288,-0.6408,0.01200000000000001,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,0.23392743103234562,-0.1594,near_fair_value,0.1360598130841122,0.1360598130841122,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.629 is close to estimated fair value -0.641; no qualified regional dislocation.,99,140,9727,Millennium-Ramapo|TETCO-M3|TGP-Mahwah
Northeast - Demand,Transco-165,neutral,No Edge,low,31.023680241662554,-0.31,-0.298,-0.01200000000000001,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,-0.23392743103234487,0.15940000000000004,insufficient_history,,,,,insufficient_backtest_events,Current -0.310 is close to estimated fair value -0.298; no qualified regional dislocation.,99,26,780,Transco-165
Northeast - Demand,Transco-Z6 (non-NY north),neutral,No Edge,low,46.45736494886594,-0.6398,-0.6637,0.02389999999999992,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,0.6829571706834198,-0.1704,near_fair_value,0.17400841121495314,0.15277009345794368,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.640 is close to estimated fair value -0.664; no qualified regional dislocation.,99,140,4295,Transco-Z6 (non-NY north)|Transco-Z6 Sta-210
SouthCentral - Midcon,EGT-Flex,neutral,No Edge,low,40.373063186719484,-0.3275,-0.31675,-0.010750000000000037,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,3,4,-0.7745764850763466,0.13,near_fair_value,5.280373831778595e-05,5.280373831778595e-05,,,insufficient_backtest_events,Current -0.328 is close to estimated fair value -0.317; no qualified regional dislocation.,99,0,4574,EGT-Flex
