Chart,Formula,As Of,Current,Days To LTD,Historical Count,Hist Avg,5Y Avg,10Y Avg,Hist Min,Hist Max,Percentile,Z Score,Delta vs Hist Avg,Delta vs 5Y Avg,Current Rank
Oct-26 vs Nov-26,Oct-26 vs Nov-26,2026-09-04,-0.137,-24,10,-0.1841000000000001,-0.23340000000000014,-0.1841000000000001,-0.43999999999999995,-0.02300000000000013,40.0,0.29838653320395453,0.047100000000000086,0.09640000000000012,7 of 11
Oct-26 vs Mar-27,Oct-26 vs Mar-27,2026-09-04,0.0,-24,10,-0.20040000000000013,-0.07940000000000022,-0.20040000000000013,-0.762,1.3299999999999992,80.0,0.3342189665843637,0.20040000000000013,0.07940000000000022,3 of 11
Nov-26 vs Jan-27,Nov-26 vs Jan-27,2026-09-04,-0.8920000000000003,-54,10,-0.4171999999999999,-0.5493999999999999,-0.4171999999999999,-0.8769999999999998,-0.13999999999999968,0.0,-1.807850289353974,-0.47480000000000044,-0.34260000000000046,11 of 11
Jan-27 vs Mar-27,Jan-27 vs Mar-27,2026-09-04,1.0290000000000004,-116,10,0.40619999999999995,0.7101999999999998,0.40619999999999995,0.03100000000000014,1.621999999999999,90.0,1.3893724730344021,0.6228000000000005,0.3188000000000005,2 of 11
Nov-26 vs Mar-27,Nov-26 vs Mar-27,2026-09-04,0.137,-54,10,-0.011899999999999977,0.1558,-0.011899999999999977,-0.403,1.3939999999999992,80.0,0.2930470548170603,0.14889999999999998,-0.018799999999999983,3 of 11
Calendar 2027,Jan-Dec-27,2026-09-04,3.2815138888888886,-116,10,3.524666666666667,4.188483333333333,3.524666666666666,2.4015,6.544250000000001,60.0,-0.2219279606490153,-0.24315277777777844,-0.9069694444444445,5 of 11
Bal Summer 2026 vs Winter 2026/27,Oct-26 vs Nov-26-Mar-27,2026-09-04,-0.4918,-24,10,-0.3907200000000003,-0.4612400000000004,-0.3907200000000003,-0.8640000000000003,0.16359999999999886,40.0,-0.28729034550620364,-0.10107999999999973,-0.030559999999999587,7 of 11
Summer 2027 vs Winter 2027/28,Apr-Oct-27 vs Nov-27-Mar-28,2026-09-04,-0.9566190476190486,-206,10,-0.3763771428571429,-0.5441714285714285,-0.3763771428571429,-0.9262857142857137,-0.1307142857142849,0.0,-2.208904673466562,-0.5802419047619056,-0.41244761904762006,11 of 11
