Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
Iroquois-Z2,Global_G08,8,regular,Global_G08_S02,2,regular,Northeast,Northeast - Demand Rest,3,Global_G08,Global_G08_S02,Iroquois-Z2,GLOBAL,Autumn,IROQUOIS-Z2,Iroquois Zn2 FDt Com,ICE Iroquois zone 2 (non-Hunts Point/Eastchester Lateral) FDt Com,"Iroquois, zone 2",,Iroquois-Z2,63,0.1998285714285714,1.0205452431734985,0.6069584031739743,-0.1349999999999998,0.16308599999999981,-0.4849999999999999,3.94,2026-09-03,-0.07079999999999975,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
NGPL-STX,Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G09,Global_G09_S01,NGPL-STX,GLOBAL,Autumn,NGPL-STX,NGPL S TX FDt Com,,"NGPL, STX",,NGPL-STX,63,-0.4203666666666666,0.11525498659703999,0.058667880510514296,-0.4049999999999998,0.11119500000000025,-0.6799999999999997,-0.21499999999999986,2026-09-03,-0.2681,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TETCO-STX,Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G09,Global_G09_S01,TETCO-STX,GLOBAL,Autumn,TETCO-STX,TX Eastern S TX FDt Com,,"Texas Eastern, STX",,TETCO-STX,63,-0.4043682539682539,0.12005461771210207,0.06377373872883929,-0.3900000000000001,0.10378199999999976,-0.6749999999999998,-0.2150000000000003,2026-09-03,-0.2502,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z0 Border Pool,Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G09,Global_G09_S01,TGP-Z0 Border Pool,GLOBAL,Autumn,,Tenn Zn0 FDt Com,ICE Tennessee zone 0 South Texas Border Pool FDt Com,"Tennessee, zone 0",TGP-Z0 South,TGP-Z0 Border Pool,62,-0.4300806451612903,0.11299387744723405,0.056620923356552846,-0.405,0.08154299999999991,-0.69,-0.21499999999999986,2026-09-02,-0.31999999999999984,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z0 North,Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - Mexico,3,Global_G09,Global_G09_S01,TGP-Z0 North,GLOBAL,Autumn,TGP-Z0,,ICE Tennessee zone 0 North FDt Com,"Tennessee, zone 0",TGP-Z0 South,TGP-Z0 North,63,-0.38487936507936493,0.12312281458185605,0.05926620815778952,-0.3706999999999998,0.0982963800000007,-0.6607999999999996,-0.1856,2026-09-03,-0.2304999999999997,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z0 South,Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G09,Global_G09_S01,TGP-Z0 South,GLOBAL,Autumn,TGP-Z0,,ICE Tennessee zone 0 South FDt Com,"Tennessee, zone 0",,TGP-Z0 South,63,-0.42404603174603167,0.1205833065338819,0.06196228190307101,-0.4056000000000002,0.10882283999999987,-0.6906999999999996,-0.21350000000000025,2026-09-03,-0.26049999999999995,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Tres Palacios (inj),Global_G09,9,regular,Global_G09_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G09,Global_G09_S01,Tres Palacios (inj),GLOBAL,Autumn,,,ICE Tres Palacios Hub - Injection FDt Com,,,Tres Palacios (inj),54,-0.4246648148148149,0.12149238683719658,0.07251373980210289,-0.40500000000000025,0.10763675999999998,-0.69,-0.2450000000000001,2026-09-01,-0.36750000000000016,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
ANR-SW,Global_G10,10,regular,Global_G10_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G10,Global_G10_S01,ANR-SW,GLOBAL,Autumn,ANR-SW,ANR OK FDt Com,,"ANR, Okla",,ANR-SW,63,-0.38159841269841266,0.13552452044778138,0.07519861923428856,-0.3600000000000003,0.09636900000000058,-0.7199999999999998,-0.18000000000000016,2026-09-03,-0.3506999999999998,-0.35799999999999965,In-family,,,False,,Subgroup,0.9550008179679144,0.8581462362488264,history=Higher than own-history expected value; peers=Higher than peer-implied value; subgroup peers=4; peer model trusted; history/peer direction agree; pattern=very strong weaker than history; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.47; mark history delta=+0.11; current transition=-0.01; transition mean=-0.12; transition delta=+0.11; transition magnitude delta=-0.11; transition degree=very strong; transition degree score=2.51; component current-month sd=0.04; component historical month sd=0.71; transition degree scale source=current-month; actual-to-date z=-0.00; mark z=0.36; transition z=0.84; pattern years=26,2026-07-03,2026-09-03,True
Enable West Pool ,Global_G10,10,regular,Global_G10_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G10,Global_G10_S01,Enable West Pool ,GLOBAL,Autumn,,,ICE Enable Gas West Pool FDt Com,,Panhandle,Enable West Pool ,62,-0.35233387096774194,0.13116930736497018,0.07464980793770751,-0.32994999999999997,0.08702862000000029,-0.6682999999999999,-0.14329999999999998,2026-09-03,-0.33809999999999985,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
NGPL-Midcont Pool,Global_G10,10,regular,Global_G10_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G10,Global_G10_S01,NGPL-Midcont Pool,GLOBAL,Autumn,NGPL-MIDCONT POOL,NGPL Midcont FDt Com,,"NGPL, Midcontinent",,NGPL-Midcont Pool,63,-0.3752777777777778,0.13294744225231894,0.07087796703489366,-0.35250000000000004,0.0926625,-0.71,-0.17000000000000037,2026-09-03,-0.35250000000000004,-0.36999999999999966,In-family,,,False,,Subgroup,0.962881659648718,0.4079892013403555,history=Lower than own-history expected value; peers=Lower than peer-implied value; subgroup peers=4; peer model trusted; history/peer direction agree; pattern=very strong weaker than history; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.49; mark history delta=+0.12; current transition=-0.02; transition mean=-0.14; transition delta=+0.12; transition magnitude delta=-0.12; transition degree=very strong; transition degree score=2.50; component current-month sd=0.05; component historical month sd=0.72; transition degree scale source=current-month; actual-to-date z=-0.02; mark z=0.33; transition z=0.98; pattern years=26,2026-07-03,2026-09-03,True
Panhandle,Global_G10,10,regular,Global_G10_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G10,Global_G10_S01,Panhandle,GLOBAL,Autumn,PANHANDLE,Panhandle TX-OK FDt Com,,"Panhandle, Tx.-Okla",,Panhandle,63,-0.42947777777777774,0.13348784098844454,0.06874447241852638,-0.43500000000000005,0.1408469999999996,-0.7449999999999997,-0.18999999999999995,2026-09-03,-0.41210000000000013,-0.45299999999999985,In-family,,,False,,Subgroup,0.9333604855259175,1.1925880941097704,history=Lower than own-history expected value; peers=Lower than peer-implied value; subgroup peers=4; peer model trusted; history/peer direction agree; pattern=very strong weaker than history; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.53; mark history delta=+0.07; current transition=-0.04; transition mean=-0.12; transition delta=+0.08; transition magnitude delta=-0.08; transition degree=very strong; transition degree score=3.27; component current-month sd=0.03; component historical month sd=0.71; transition degree scale source=current-month; actual-to-date z=-0.03; mark z=0.22; transition z=0.56; pattern years=26,2026-07-03,2026-09-03,True
