Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G01,1,regular,Global_G01_S01,1,regular,Eastern Gas-North,Northeast,Northeast - Appalachia,No forward mark,63,-0.9140142857142857,0.22522738320964752,0.10098262728158588,-0.9099999999999999,0.2520419999999999,-1.36,-0.41500000000000004,2026-09-04,-1.2929
Global_G01,1,regular,Global_G01_S01,1,regular,Leidy-Transco,Northeast,Northeast - Appalachia,No forward mark,63,-0.8515365079365077,0.2465463872479744,0.11751736219711698,-0.8699999999999999,0.25204199999999954,-1.3,-0.2749999999999999,2026-09-04,-1.2818
Global_G01,1,regular,Global_G01_S01,1,regular,Millennium-Ramapo,Northeast,Northeast - Demand,No forward mark,63,-0.8418142857142857,0.24482700532123125,0.11495555189128229,-0.8449999999999998,0.2441842200000001,-1.2561,-0.25039999999999996,2026-09-04,-1.2455
Global_G01,1,regular,Global_G01_S01,1,regular,TCO,Northeast,Northeast - Appalachia,Watch,63,-0.7764015873015871,0.23410247721062136,0.08128117477834235,-0.7649999999999997,0.2520419999999992,-1.2683,-0.31000000000000005,2026-09-04,-1.2683
Global_G01,1,regular,Global_G01_S01,1,regular,TGP-Z4 Sta-219,Northeast,Northeast - Appalachia,No forward mark,63,-0.7624047619047618,0.25863562388947975,0.11000008082541139,-0.7000000000000002,0.31875899999999946,-1.2415,-0.27,2026-09-04,-1.2415
Global_G01,1,regular,Global_G01_S01,1,regular,TGP-Z4 Sta-313,Northeast,Northeast - Appalachia,No forward mark,63,-0.8149555555555553,0.240172912024339,0.09327148758659069,-0.77,0.23721599999999954,-1.2872000000000001,-0.3650000000000002,2026-09-04,-1.2872000000000001
Global_G01,1,regular,Global_G01_S02,2,supergroup,TETCO-M3,Northeast,Northeast - Demand,In-family,63,-0.782973015873016,0.24767872153017567,0.11099297824156167,-0.77,0.2520419999999999,-1.2173,-0.19499999999999984,2026-09-04,-1.2173
Global_G01,1,regular,Global_G01_S02,2,supergroup,TGP-Mahwah,Northeast,Northeast - Demand,No forward mark,63,-0.8500349206349206,0.2581311201937759,0.11793125009432467,-0.8174999999999999,0.2616788999999995,-1.2592999999999999,-0.24429999999999996,2026-09-04,-1.2531
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 (non-NY north),Northeast,Northeast - Demand,No forward mark,62,-0.8108064516129034,0.24798399199457047,0.11755373146532083,-0.8399999999999999,0.28540049999999983,-1.28,-0.22999999999999998,2026-09-03,-1.005
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 (non-NY south),Northeast,Northeast - Demand,No forward mark,62,-0.8105645161290325,0.2479574012176577,0.11741896403372878,-0.835,0.28540049999999983,-1.28,-0.22999999999999998,2026-09-03,-1.005
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 Sta-210,Northeast,Northeast - Demand,No forward mark,63,-0.8163190476190475,0.25477366290249814,0.12245139330729538,-0.8409,0.28540049999999983,-1.2819,-0.2153999999999998,2026-09-04,-1.2553
