Date,State_A,State_B,GEOID_A,GEOID_B,Comp_A,Comp_B,Spread_Abs,N_score,W_score,P_score,Tension_Score,Data_Quality_Flag
2026-08-05,TN,TN,TN|MACON,TN|TROUSDALE,TETCO-M1 30,CG-Mainline,0.12,56.2169,2.4,,42,Imputed_P
2026-08-05,TN,TN,TN|MAURY,TN|WILLIAMSON,TETCO-M1 30,CG-Mainline,0.12,56.2169,2.4,,42,Imputed_P
2026-08-05,TN,TN,TN|PERRY,TN|WAYNE,TGP-Z1 100L,TGP-500L,0.875,77.2222,2.4,,57,Imputed_P
2026-08-05,TN,TN,TN|ROBERTSON,TN|SUMNER,TGP-Z1 100L,TGP-Z1 Sta-87,0.0006,29.0741,2.4,,22,Imputed_P
2026-08-05,TN,TN,TN|RUTHERFORD,TN|WILLIAMSON,TETCO-M1 30,CG-Mainline,0.12,56.2169,2.4,,42,Imputed_P
2026-08-05,TN,TN,TN|RUTHERFORD,TN|WILSON,TETCO-M1 30,CG-Mainline,0.12,56.2169,2.4,,42,Imputed_P
2026-08-05,TN,TN,TN|SUMNER,TN|TROUSDALE,TGP-Z1 Sta-87,CG-Mainline,0.0056,17.5794,2.4,,14,Imputed_P
2026-08-05,TN,TN,TN|SUMNER,TN|WILSON,TGP-Z1 Sta-87,CG-Mainline,0.0056,17.5794,2.4,,14,Imputed_P
2026-08-05,TX,TX,TX|ANDREWS,TX|WINKLER,NNG-Mid 1-7,TW-WTX,0.06,,26.6,50.8862,,Missing_N
2026-08-05,TX,TX,TX|ANGELINA,TX|JASPER,TETCO-ETX,Transco-45,0.035,22.8042,26.6,63.7632,35,Full
2026-08-05,TX,TX,TX|ANGELINA,TX|POLK,TETCO-ETX,NGPL-TXOK East,0.035,33.1614,26.6,63.7632,41,Full
2026-08-05,TX,TX,TX|ANGELINA,TX|TYLER,TETCO-ETX,TGP-Z0 South,0.0816,36.9312,26.6,63.7632,43,Full
2026-08-05,TX,TX,TX|AUSTIN,TX|FORT BEND,TETCO-STX,NGPL-STX,0.01,26.6667,26.6,62.672,37,Full
2026-08-05,TX,TX,TX|AUSTIN,TX|WALLER,TETCO-STX,TGP-Z0 South,0.0066,15.0132,26.6,62.672,30,Full
2026-08-05,TX,TX,TX|AUSTIN,TX|WHARTON,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,62.672,39,Full
2026-08-05,TX,TX,TX|BEE,TX|REFUGIO,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|BEE,TX|SAN PATRICIO,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|BOWIE,TX|CASS,EGT-South,NGPL-TXOK East,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|BRAZORIA,TX|FORT BEND,TETCO-STX,NGPL-STX,0.01,26.6667,26.6,62.672,37,Full
2026-08-05,TX,TX,TX|BRAZORIA,TX|GALVESTON,TETCO-STX,FGT-Z1,0.105,,26.6,62.672,,Missing_N
2026-08-05,TX,TX,TX|BRAZORIA,TX|MATAGORDA,TETCO-STX,Transco-30,0.01,28.0688,26.6,62.672,38,Full
2026-08-05,TX,TX,TX|BRAZORIA,TX|WHARTON,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,62.672,39,Full
2026-08-05,TX,TX,TX|BROOKS,TX|DUVAL,TGP-Z0 Border Pool,TETCO-STX,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|BROOKS,TX|HIDALGO,TGP-Z0 Border Pool,TETCO-STX,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|BROOKS,TX|JIM HOGG,TGP-Z0 Border Pool,NGPL-STX,0.005,43.0026,26.6,45.1257,42,Full
2026-08-05,TX,TX,TX|BROOKS,TX|JIM WELLS,TGP-Z0 Border Pool,NGPL-STX,0.005,43.0026,26.6,45.1257,42,Full
2026-08-05,TX,TX,TX|BROOKS,TX|KENEDY,TGP-Z0 Border Pool,TETCO-STX,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|BROOKS,TX|KLEBERG,TGP-Z0 Border Pool,TETCO-STX,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|CALHOUN,TX|MATAGORDA,TETCO-STX,Transco-30,0.01,28.0688,26.6,62.672,38,Full
2026-08-05,TX,TX,TX|CALHOUN,TX|REFUGIO,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|CALHOUN,TX|VICTORIA,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|CARSON,TX|HUTCHINSON,TW-Panhandle,NGPL-Midcont Pool,0.315,13.6772,26.6,50.8862,26,Full
2026-08-05,TX,TX,TX|CASS,TX|MARION,NGPL-TXOK East,EGT-South,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|CASS,TX|MORRIS,NGPL-TXOK East,EGT-South,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|CASTRO,TX|HALE,TW-Panhandle,NNG-Mid 1-7,0.06,,26.6,50.8862,,Missing_N
2026-08-05,TX,TX,TX|CHAMBERS,TX|GALVESTON,TETCO-STX,FGT-Z1,0.105,,26.6,62.672,,Missing_N
2026-08-05,TX,TX,TX|CHAMBERS,TX|JEFFERSON,TETCO-STX,Golden Triangle,0.07,,26.6,62.672,,Missing_N
2026-08-05,TX,TX,TX|CHAMBERS,TX|LIBERTY,TETCO-STX,NGPL-TXOK East,0.04,29.828,26.6,62.672,39,Full
2026-08-05,TX,TX,TX|COLORADO,TX|WHARTON,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,62.672,39,Full
2026-08-05,TX,TX,TX|DEWITT,TX|VICTORIA,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,,29,Imputed_P
2026-08-05,TX,TX,TX|DUVAL,TX|JIM HOGG,TETCO-STX,NGPL-STX,0.01,26.6667,26.6,45.1257,32,Full
2026-08-05,TX,TX,TX|DUVAL,TX|JIM WELLS,TETCO-STX,NGPL-STX,0.01,26.6667,26.6,45.1257,32,Full
2026-08-05,TX,TX,TX|FORT BEND,TX|HARRIS,NGPL-STX,TETCO-STX,0.01,26.6667,,62.672,39,Imputed_W
2026-08-05,TX,TX,TX|FORT BEND,TX|WALLER,NGPL-STX,TGP-Z0 South,0.0034,34.4841,26.6,62.672,41,Full
2026-08-05,TX,TX,TX|FORT BEND,TX|WHARTON,NGPL-STX,TGP-Z0 Border Pool,0.005,43.0026,26.6,62.672,46,Full
2026-08-05,TX,TX,TX|GALVESTON,TX|HARRIS,FGT-Z1,TETCO-STX,0.105,,,62.672,,Missing_N
2026-08-05,TX,TX,TX|GOLIAD,TX|REFUGIO,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|GOLIAD,TX|VICTORIA,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,,29,Imputed_P
2026-08-05,TX,TX,TX|GRAY,TX|WHEELER,TW-Panhandle,ANR-SW,0.325,13.5979,26.6,50.8862,26,Full
2026-08-05,TX,TX,TX|GREGG,TX|HARRISON,EGT-South,NGPL-TXOK East,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|GREGG,TX|RUSK,EGT-South,TETCO-ETX,0.0482,,26.6,63.7632,,Missing_N
2026-08-05,TX,TX,TX|GREGG,TX|SMITH,EGT-South,NGPL-TXOK East,0.0782,,26.6,63.7632,,Missing_N
2026-08-05,TX,TX,TX|HANSFORD,TX|HUTCHINSON,Panhandle,NGPL-Midcont Pool,0.085,57.6587,26.6,,50,Imputed_P
2026-08-05,TX,TX,TX|HANSFORD,TX|ROBERTS,Panhandle,TW-Panhandle,0.23,12.619,26.6,50.8862,25,Full
2026-08-05,TX,TX,TX|HANSFORD,TX|SHERMAN,Panhandle,TW-Panhandle,0.23,12.619,26.6,,16,Imputed_P
2026-08-05,TX,TX,TX|HARDIN,TX|JEFFERSON,Transco-45,Golden Triangle,0.015,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|HARDIN,TX|LIBERTY,Transco-45,NGPL-TXOK East,0.07,26.746,26.6,,27,Imputed_P
2026-08-05,TX,TX,TX|HARDIN,TX|ORANGE,Transco-45,Golden Triangle,0.015,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|HARDIN,TX|POLK,Transco-45,NGPL-TXOK East,0.07,26.746,26.6,,27,Imputed_P
2026-08-05,TX,TX,TX|HARDIN,TX|TYLER,Transco-45,TGP-Z0 South,0.1166,27.2884,26.6,,27,Imputed_P
2026-08-05,TX,TX,TX|HARRIS,TX|LIBERTY,TETCO-STX,NGPL-TXOK East,0.04,29.828,,62.672,41,Imputed_W
2026-08-05,TX,TX,TX|HARRIS,TX|WALLER,TETCO-STX,TGP-Z0 South,0.0066,15.0132,,62.672,30,Imputed_W
2026-08-05,TX,TX,TX|HARRISON,TX|MARION,NGPL-TXOK East,EGT-South,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|HARRISON,TX|PANOLA,NGPL-TXOK East,Carthage,0.035,35.6878,26.6,,34,Imputed_P
2026-08-05,TX,TX,TX|HARRISON,TX|RUSK,NGPL-TXOK East,TETCO-ETX,0.035,33.1614,26.6,63.7632,41,Full
2026-08-05,TX,TX,TX|HARRISON,TX|UPSHUR,NGPL-TXOK East,EGT-South,0.0782,,26.6,,,Missing_N
2026-08-05,TX,TX,TX|HIDALGO,TX|STARR,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,45.1257,34,Full
2026-08-05,TX,TX,TX|HUTCHINSON,TX|ROBERTS,NGPL-Midcont Pool,TW-Panhandle,0.315,13.6772,26.6,50.8862,26,Full
2026-08-05,TX,TX,TX|HUTCHINSON,TX|SHERMAN,NGPL-Midcont Pool,TW-Panhandle,0.315,13.6772,26.6,,17,Imputed_P
2026-08-05,TX,TX,TX|JACKSON,TX|MATAGORDA,TETCO-STX,Transco-30,0.01,28.0688,26.6,62.672,38,Full
2026-08-05,TX,TX,TX|JACKSON,TX|VICTORIA,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,,29,Imputed_P
2026-08-05,TX,TX,TX|JACKSON,TX|WHARTON,TETCO-STX,TGP-Z0 Border Pool,0.005,29.8545,26.6,62.672,39,Full
2026-08-05,TX,TX,TX|JASPER,TX|NEWTON,Transco-45,TETCO-WLA,0.005,31.3889,26.6,,30,Imputed_P
